1	DE LOCIS SANCTIS, QVOS PERAMBULAVIT BEATVS ANTONINVS MARTVR. Procedente beato Antonino martyre una cum collega suo, ei eo quod ciuitatem Placentiam egressus est, in quibus locis per regnum conatus est ire, uestigia Christi sequentes et miracula sanctorum prophetarum prouidere coeperunt. Ita exeuntibus nobis de Constantinopolim uenimus in insula Ciprum in ciuitate Constantia, in qua requiescit sanctus Epiphanius. Ciuitas pulchra, dilitiosa, ornata palmis dactalorum. Dein uenimus partibus Syriae in insula Santaritus ad Tirum. Tunc uenimus Tholomaida, ciuitate onesta, monasteria bona. 
2	
3	Tholomaida permanet contra ciuitatem milia sei in castm Samaritanorum, miliario a Sugamina. Sub monte Carmelo super ipsa castra miliario semis monasterium Helysaei prophetae, ubi ei occurrit mulier, cuius filium suscitauit in monte Carmelo. Ibique est petra modica, rotunda; quando exagitatur, sonat, quia solida est. Talis autem est uirtus petrae illius, ut, si suspensa fuerit mulieri uel cuicumque animali, iactum numquam faciet, et a ciuitate sex aut septem milia personat. 
4	De Tholomaide maritima uenimus in finibus Galileae in ciuitatem, quae uocatur Neocesarea. In qua adorauimus amola et canestellum sanctae Mariae. In quo loco erat cathedra, ubi Titulus deest B 6 sanctorum om. B 7 constantinopoli litt . m erasa Br insulam cyprum B 8 ciuitatem constantinam B epyphanius Br 9 pnlcra deliciosa B dactilarum B Deinde B 10 in partes siriae B in insulam B tyrum B 11 ptholomaidam B ciuitatem honestam et B 12 ptholomaida manet B miliaria B castris B 13 cannell/lo B 14 ipsum castrum B elysei B 15 occurrit ei B 16 est om. B 17 uirtus est B 18 supensus B aut B 19 milaria B 20 ptholomaida B fines B 21 neocessarea B amula B 22 canistellum B 13* sedebat, quando ad eam angelus uenit. Deinde milia III uenimus in Chana, ubi Dominus fuit ad nuptias, et accubuimus in ipso accubitu. Ubi ego indignus parentum meorum nomina scripsi. Ex quibus hydriae duae ibi sunt, impleui aqua unam et protuli ex ea uinum et in humero plena leuaui et obtuli ad altare, et in ipso fonte pro benedictione leuauimus. Et inde uenimus in partibus Syriae, ubi requiescit sanctus Leontius, quae ciuitas tempore Iustiniani imperatoris subuersa est a terrae motu cum aliis ciuitatibus. Venimus exinde Bibolo, quae et ipsa ciuitas cum hominibus subuersa est. Exin in ciuitate Triari, quae et ipsa subuersa est. Deinde uenimus in ciuitate splendidissima Beritho, in qua nuper fuit studium litterarum, quae ciuitas subuersa fuit. Dicente nobis episcopo ciuitatis, quia cognitae fuerant personae excepto peregrinis, qui ibi perierant. Ipsa ciuitas iacet sub montana Libani. A Berito uenimus Sidonem, quae ex parte ruit et ipsa adheret Libano, homines in ea pessimi; illic currit fluuius Asclepius, et fons, unde surgit, stat. De Sydone uenimus Sareptha, quae ciuitas modica et ualde christiana est; in qua est caenaculum illud, quod factum fuerat Haeliae, et lectum, ubi recubuit, et alueus marmoreus, ubi illa uidua fermentauit, in quo loco multa offeruntur et uirtutes multae fiunt. Exeuntibus nobis de Sareptha uenimus in ciuitate Tyro; a Tyro usque Sareptha continue milia septem. Tyrus ciuitas, homines potentes, uita pessima, tanta luxuria, quae dici non potest. Ginetia publica, olosericum et diuersa genera telarum. 
5	 At uero de Tyro uenimus in ciuitatem Nazareth, in qua 1 miliario III B 2 acubnimus B 3 acubitu B 4 Ex quibus om. B idriae B ibi om. B 5 humerura plenam B optuliB 6 lauimusB 7 Ex- inde B partes B 9 a 0111. B bibilo B 10 Exin-est om, B 11 ciuitatem aplendidiasimus ab eritho B 13 fuit] est B 14 cui cognitae B quae B 16 beritho B sydonem B 18 inde B stat om. B sareptam B 19 in qua cen. B 20 helyae B 21 loco uiitutes multae fiunt et illuc multa offeruntur B 22 sarepta B 23 ciuitatem B sareptam B continua miliaria B 24 habet homines B 25 tantae luxuriae quantae B genetia puplica B 27 post Tyro magna lacuna in cod. B sunt multe uirtutes. Ibi etiam pendit thomus, in quo Dominus a b c habuit impositum. In qua etiam synagoga posita est trauis, ubi cum aliis sedebat infantibus. Quae trauis a Christianis agitatur et subleuatur, Iudaei uero nullo modo possunt eam agitare, sed nec permittit se foras tolli. Domus sanctae basilica est et multa ibi sunt beneficia de uestimentis eius. In ciuitate uero illa tanta est gratia mulierum Hebreorum, (ut) in terra illa inter Hebreas pulchriores <non> inueniantur, et hoc a sancta Maria sibi concessum dicunt; nam et parentem suam dicunt eam. Et dum nulla sit caritas Hebreis erga christianos, ille omnem sunt caritate plenae. Prouintia paradiso similis in tritico, in fruges similis Aegypto. Modica quidem, sed praecellit in uino et oleo et poma melliumque, sed et milium extra natura altum nimis super statum hominis talea grossa. 
6	De Nazareth uenimus in monte Tabor, qui mons exiit in medio campestri, terra uiua, tenens circuitum milia VI, ascensum milia Illa, sursum ad unum miliarium planum, in quo sunt tres ecclesiae-, ubi dictum a discipulo est: Faciamus hic tria tabernacula). In circuitu diuersae ciuitates, quae in Regum leguntur. De Tabor uenimus ad mare Tyberiadis in ciuitatem, quae alio tempore appellata est Samaria, modo uero dicitur Neapolis, in qua puteus est, ubi Dominus a muliere Samaritana aquam petiit, et ibi facta est basilica sancti Iohannis, et ipse puteus est ante cancellos altaris et situla, de qua dicitur, quod Dominus biberit, et multi aegri ibi ueniunt et sanantur. 
7	Deinde uenimus in ciuitate Tyberiade, in qua sunt termae salsae. Nam aqua maris ipsius dulcis est, quae mare circat milia VIII. Deinde uenimus in Capharnaum in domo beati Petri, quae est modo basilica. Inde transeuntes per castra uel uicos aut ciuitates uenimus ad duos fontes, scilicet Ior et Dan, quae in unum confluunt et uocitatur Iordanis. Paruus ingreditur 18 Matth. 17, 4 Marc. 9, 5 Luc. 9, 33 8 nt* om. Br non om. Br 18 miliarium. Planum Br mare et pertransit totum maris pelagum usque alio litore maris. Reuertentes post nos uenimus ad locum, ubi Iordanis de mare egreditur, transiuimus Iordanem in ipso loco et uenimus in ciuitatem, quae uocatur Gaddera, quae et Gabaon dicitur. In ista parte ciuitatis miliario tertio sunt aquae calide, quae appellantur termas Heliae, ubi leprosi mundantur; ibi et synodochium delicias de publico habens, et ora uespertina mundantur termae. Ante ipsum uero clybanum grande est solium, qui dum impletum fuerit, omnia ostia clauduntur et per ostium mittuntur intus cum luminaria et incensum et sedent in illo solio tota nocte. Et dum soporati fuerint, uidet ille, qui mundatus est, aliquam uisionem, et dum eam recitauerit, non mundantur ipsae termae per VII dies. Ibi uero defunctus est collega noster Iohannes de Placentia. Nam ipse fluuius calidus, qui uocatur Gaddera, descendit torrens et intrat in Iordanem et ex ipso ampliatur Iordanis et maior fit. 
8	 Et tunc descendimus per Galileam iuxta Iordanen transeuntes multas ciuitates, quae leguntur, uenimus in ciuitate metropoli Galileae, quae uocatur Scitopolis, in monte posita, ubi sanctus multas operatur uirtutes. Exinde descendimus per alia loca Samariae et Iudeae in ciuitate Sabastea, in qua requiescit Heliseus propheta. Descendentes per campestria, ciuitates uel uicos Samaritanorum et plateas, unde transiuimus, uenientes post nos Iudaei, cum paleas uestigia nostra incendentes. Tanta illis est exsecratio utrisque; Christianis quidem responsum faciunt. Attamen, ut, quod ab illis emere uis, non tangas, priusquam pretium des; quod si tetigeris et non comparaueris, mox scandalizabuntur. Nam foris uico habent condoma una posita, qui ipsius faciunt responsum; nummos autem non accipiet de manu tua, sed tu in aqua proicies eos et denuntiant tibi, quando ingrediaris. Tunc uero noli expuere; si 3 transiuiaimuB, sed ead. m. corr. Br 26 Attamen. Hic denuo incipit B ut om. B non tangas post des coll. B 27-conparaberis B 28 foris uico habent om. B comdoma B 30 accipiunt B aquam B 31 Tn uero B . autem expueris, scandalizabuntur. Sero autem purificant se in aquam et sic ingrediuntur in uico aut in ciuitatem. 
9	Deinde uenimus in loco, ubi Dominus de quinque panibus et duobus piscibus quinque milia hominum satiauit extra paruulis et mulieribus, extensa campania, oliueta et palmeta. Exinde uenimus ad locum, ubi baptizatus est Dominus. In ipso loco filii Israhel transierunt Iordanem et filii prophetarum perdiderunt securem. Et ex ipso loco Helias assumptus est in caelum ibique mons Hermon modicus, qui legitur in psalmo. Ad pedes montis ipsius ascendit de fluuio nubes; ora prima, oriente sole Hierusolimam uenit super basilicam, quae est in Syon, et super basilicam sanctae Mariae ad sancta Soffia, quae fuit praetorium, ubi auditus est Dominus. Super his locis descendit ros sicut pluuia et colligunt eam medici et in ipso quocuntur omnes confectiones per synodochia. Nam multi languores sanantur ibi, ubi cadit ipse ros; ipse est enim ros, de quo propheta canit Dauid: Sicut ros Hermon, qui descendit in Syon. In illa ripa Iordanis est fons, ubi baptizabat sanctus Iohannes; inde usque Iordane milia duo. In ipsa ualle inuentus est Helyas, quando ei coruus deferebat panem et carnes. In circuitu autem uallis ipsius multitudo heremitarum. 
10	Et ibi prope est ciuitas, quae uocatur Salamiada, ubi remanserunt duo semis tribus Israel, priusquam transirent Iordanem, in quo loco sunt termae ex se leuantes, quae uocantur termae Moysi. Ubi etiam et leprosi mundantur, et ibi est dulcissimus aquae fons, quae bibitur pro catarcium et multos sanat languores. Non longe a mare salinarum, in qua Iordanis ingreditur 9 Psalm. 41, 7 17 Psalm. 132, 3 2 ingredientur, corr. ead. m. B uicum B 3 locum B 4 exclptis B 5 ibi sunt oliueta B 6 Et in B 7 loco om. B 8 helyas B 9 mons est B modicus om. B 11 et ierosolimam ueniet B 12 sanctam sophiam B 13 haec loca B 14 ea B ex ipso coquuntur B 16 ipse est enim ros om. B 19 iordanem miliaria B 24 thermae B ex se leuantes om. B thermae B 25 et om. B et om. B 26 qui B pro catartico B 27 autem mare B in quod B subtus Sodoma et Gomorra, ad cuius litus bitumen et sulphur colligitur. In quo mare mense Iulio et Augusto et usque medio Septembrio tota die iacent leprosi, ad uesperum autem leuantur in ipsas termas, et aliquotiens Dominus, quem uult, mundat. Nam et generalitate est aliqua permitia. In quo mare nihil uiuificatur, nec lignea nec paleae ibi natant neque homo ibi natare potest. Sed quicquid ibi proiectum fuerit, in profundum demergitur. De Iordane usque ad locum, in quo Moyses de corpore exiit, sunt milia octo. Exinde non multum longe a Segor, in quibus locis multi heremitae. Vidimus et ibi monumentum Absalon, filii Dauid. 
