1	Qui credit esse duas naturae diuersis principiis existentes, unam bonam. quod est deus, alteram malam, quam non creauit deus, (habentem principes suos et mala sua, quae non creauit deus), anathema sit. 
2	Qui credit duas naturas bellum inter se gessisse et partem naturae dei in eodem bello principibus tenebrarum et omnibus generibus ad malam naturam pertinentibus fuisse permixtam ab eis teneri conligatam, obpressam, inquinatam, per quod et credi facit dei naturam esse mutabilem et coinquinabilem, anathema sit. 
3	Qui credit partem dei ligatam et inquinatam teneri in daemonibus et in omnibus animalibus fruticumque generibus et per escas Manichaeorum electorum solui atque purgari, ut credatur pars dei polluta teneri in cucumeribus et melonibus et radicibus et porris et quibuscumque uilissimis herbulis, et ei subueniri, cum ab electis Manichaeorum ista comeduntur, anathema sit. 
4	Qui credit hominem primum, qui est appellatus Adam, non a deo factum, sed a principibus tenebrarum genitum, at pars dei, quae in eorum membris captiua tenebatur, copiosius et abundantius in terra teneatur, et isto modo creatum, cum masculi et feminae principes tenebrarum concubuissent et fetus suos maiori principi tenebrarum dedissent t, et ille omnes comedisset et cum sua coniuge concubuisset atque ita ex illa Adam generasset, ligans in illo magnam partem dei, quae ligata fuerat in omnibus fetibus principum tenebrarum. quos ei manducandos dederunt, anathema sit. 
5	Qui credit principes tenebrarum ligatos esse in caelo habentes in se conligatam in angustiis atque angoribus uitalem substantiam, hoc est partem dei, et eo modo liberari de membris eorum, cum 1 acoeperunt SPT urgente SPTDC2 eosj ques 8 4 heresem C1 L 5 anathomatizare SPD 6 duas esse DPS 8 habentem—deus om. Cb 12 generibus] geutibus JJPS 13 teneri] tenebris S conligatam C1 colhgat.am PDS oppreasam CSDP per quodj qaod ST 14 oaturarn dei S 15 daemonibus] holeribus CL2 16 fru ticumque (c er.) P fructuumque S et] ut S 17 utom. 8 18 teneri om. S cuccumeribus LC1 radiculis SPTD 19 quibosque SPT herbis S aeis ST 22 tenebrorum ClL pars (S S .l a m. 1) C 23 copiosius (i ante u h, I a m. 1) C: copiosius—teneatur in mg . Lhabundantias SPTD 24 teneretur DSPT 25 faemine C faaus C foetus L 26 et cum— concubuis*et om. CL 27 illa] ea D 28 faaibus C 29 els 8 30 babentes—in om. S beatus pater qui lucidas naues habet diuersoria et habitacula, id est solem et lunam, uirtutes suas transfigurat in feminas pulchras, quas obponat concupiscendas masculis principibus tenebrarum, et in masculos pulchros. quos obponit concupiscendos feminis princ\'pibus tenebrarum, ut per ipsam concupiscentiam soluatur ex eis uitalis substantia id est pars dei. et ex eorum membris liberata purgetur, anathema sit. 
6	Qui credit partem dei, quae de commixtione gentis tunebrarum non potuerit liberari atque purgari. damnari et in aeternum adfigi horribili globo, in quo globo includitur gens tenebrarum, anathema sit 
7	Qui credit legem, quae data est per Moysen, non esse ab uno et uero deo datam dec spiritu boni dei et ueri locutos prophetas, qui fuerunt in populo Israhel et in canone diuinarum scripturarum habentur apud catholicam ecclesiam. anathema sit. 
8	Qui credit non habuisse ueram carnem filium dei, dominum nostrum Iesum Christum, neque natum esse de Maria uirgine neque ueram mortem fuisse perpessum et a mortuis resurrexisse, sed tantummodo spiritum fuisse sine carne, sic autem adparere uoluisse. ut et caro putaretur, quae non erat, atque hoc modo contradicit euangelio, ubi legitur domino ipso dicente: uidete manus meas et pedes meos : palpate et uidete, quia spiritus ossa et carnem non habet, sicut me uidetis habere: qui ergo sic confitetur deum ut uerum et integrum etiam hominem neget, anathema sit. 
9	Qui credit Manen siue Manichaeum, qui supra scripta omnia, quae anathemate et damnatione sunt digna. praedicauit et docuit, spiritum sanctum habuisse paracletum, cum ea omnia docere non potuerit spiritus ueritatis. sed spiritus falsitatis, anathema sit. 
10	Et praecipue ipse Manes siue Manichaeus, qui omnes supra 21 Luc 24. 39 1 diuersoria] qui uersoria. L qui diuersoria (di s. l . a. m. 1) C 2 uirtutes suas om Ch pulcras S 3 et -tenebrarum om. S 4 quas C1 L 5 his S 9 dampnari SPD post damnari add . eam in LCPT eterno DTP 10 affici CLPT affligi D et horribili S in quo globo] ubi S 12 per s. I. a m. 1 C ab uno] a buno L a bono DPT 13 datum C1 L spm S dei boni SPTf) locutum S per prophetas S 14 canonae L scripturarum diuinarum SPTD t7 nostrum om. SPT uirgine maria DSTP 18 resurrexissej reuixisse PTD 19 sine carne om. S sic] t>i C\'L autem om. P 20 et om. S qui S atquej qui C quae L 22 quial quare D carnem et essa STPD 23 quia S 24 deuml xpm deum DSPT 26 manin C\'LS manen (n fin. s. l.) P scribta L 27 dampnatione DS 28 paraclytum CLD paraclitum SP 29 potuit SPTD 30 manis ClLS qui∗ .(a er) C scriptas inpietates et alias sacrilegas fabulas docuit et conscripsit et credendas miseris persuasit, intendens spiritibus seductoribus et doctrinis daemoniorum mendaciloquorum, anathema sit. Item forma epistulae, quam dat episcopus conuersis, ista est. Quoniam te Manichaeorum auditorem to paenitet fuisse, sicut ipse confessus es, anathema dicens blasphemiis et inpiissimae atque inmundissimae haeresi eorum. ex qua te nonnisi fides catholica saluum fecit : habebis hanc epistulam aduersus eos, qui tibi temporis praeteriti errorem, quantum ad istam nefariam pertinet sectam, obiciendum putauerint, quae scripta est die illo et consule illo. Electis uero eorum, qui se conuerti dicunt ad catholicam fidem, etiamsi et ipsi secundum superiorem formam eandem haeresim anathemauerint, non facile dandae sunt litterae, sed cum dei seruis esse debebunt, sine clericis siue laicis in monasterio uel xenodochio, donec adpareat penitus ipsa superstitione caruisse. et tunc uel baptizentur, si non fuerint baptizati, uel reconcilientur, si paenitentiae locum acceperint. nec acceptis cito litteris loca mutent et per eandem scriptam incautis in se quaerendi sunt, si quos nouerunt, ut et ipsi sanari possint et sic suscipiantur. 1 impiatatis S post sacrilegas add. damnabilesque in ST ac damnabiles in DP 3 et om. CL rnendatiiloquorum L mendacii loquiorum (i in loquiorum s. 1. a m. 1) C4 forjnae L forme C epistolae SPT pro quam—cst praebet S de quoda ̃ epo ip ̃ι \'conuersis om. CLS 5 te ante paenitet om. SPT pcnitft DL penitet (t fin. s l.) S2 sicut] ut P 6 inpiissime I, 7 heresi CL, (i s. l.) P haeresi eorum] hereseorum D 8 facit ST 9 praaeri C 10 die] de C 11 eoruml manicheorum D fitem S 12 etiamsi] si 8 heresem C heresim L 13 anathematizauer ̃ SP 141aicis om. CLDP in om. CL cenodoctio S xenodocio LCl 15 appareant PT paenitus CL superstitio necaruisse L 16 si-baptizati om. S fuerant CL 17 accepti scito L post loca praebent DSP.T in quibus fuerant commendati deserant. 18 mutent usque ad finem omittunt omnia DSPT incautis scripsi: incautisse CL 19 Commonitorium beati Augustini de heresi Manicheorum D Explicit commonitoriu ̃ bi AOg ad uniuersam ecclam destinatu ̃ sub qua cautela manichei si conueisi fuerint suscipi debeant fol. 335b S Commentariu beati Augustini de heresi manichcoru ̃ sub execratione anathcmatis expl. Quod iste Manes non sit auctor huius heresis sed potius quida stutianus fol. 55* P fol.\' 103* T; subseriptionem om, CL 
