1	 Libellum, quem mihi religio tua, frater Fulgenti, direxit, non aspernatus accepi; quem utrum ipse dictaueris an aliunde quaesieris, non satis iam moror. est enim et hoc nostrae religionis officium, non personas intendere, sed ueritatem in omnibus quaerere, inuentam cognoscere et agnitam custodire. sic enim Paulus apostolus dicit: omnia probate, quod bonum est tenete; ab omni specie mala abstinete uos. breuiter igitur dicam quod ingeniosius litteris dilatasti. dixisti unum esse baptisma, quod Samaritanus, id est haereticus, habere non meruit; unum hortum conclusum, quod est ecclesia, fontem habere signatum, de quo nullus alienus attingit; unum oleum, quod est chrisma sanctissimum, quod moriturae muscae corrumpunt et peccatores omnino non dabunt. contra haec mihi in adiutorio domini paranda responsio est nec aliunde sumenda nisi ex lectione diuina. uerbi ergo principium iam sumamus, immo ipsum uerbum principium legum dominum ducem ac principem caelestis militiae teneamus, bella geramus et eius manu sacrata tuba petamus muros ualidissimos ciuitatis nefariae Hiericho, id est altitudinem mundanae sapientiae testamentis dominicis circumdemus, ueritatis et libertatis uocibus concrepemus, aduersarios in domo Raab, id est ecclesiae, quae nuntios eius suscipit, propter mundi excidium confugere conpellamus, pertinaces anathema condemnemus, ut hactenus uictores esse possimus. haec ergo ex lege aduersus legem, ex dei testamento aduersus dei testamentum, ex ueritatis fonte aduersus ueritatis fontem tam obice forte prima fronte sumpsisti, 6 I Thess. 5, 21-22 10 cf. Cant. 4, 12 12 cf. Eccle. 10, 1 20 cf. Ios. 2 De codicum praescriptionibus cf. Praefatio 2 an] ac mmlu 3 iam moror scripsi ammiror a admiror ssv 4 intende a intendes sml quaerre a 5 agnoscere v si aml apostolus Paulus uv 7 uos abstinete v 8 ingeniosus s \'1\' dixisti a 9 sammaritanus aml (passivn) 10 horum aml ortum sz quod) qui uv 11 attingat mml sanctissimo uml 13 domini om. s diuino add. mm2 s. l . 14 est responsio s 15 sumamus principium (om . iam) m 17 sacramenta sml 21 suscepit v 22 anathemate ssv 23 actenus ammlu 25 forti ssv LIII. August. c. Don. III. 19 quasi possit ueritas a semet ipsa deuinci aut gloria luminis sua luce fuscari. 
2	Donatista dixit: Dominus et saluator noster Iesus Christus, unici baptismi doctor et custos, ne sitientes animae per aridos lacus mentis error adduceret, perennes haustus sibi esse proclamans in euangelio suo ita testatus est, dicens: qui sitit ueniat et bibat, qui credit in me, sicut Esaias dicit. Catholicus respondit: Non habet: sicut dicit Esaias, sed: sicut dicit scriptura. sed ista uelut impedimenta despiciam, non longo sermone utilitatem legentis excludam. Donatista dixit: Qui credit in me, sicut dixit Esaias, flumina de uentre eius fluent aquae uiuae. et ne passim et ubique bibi posse diceretur, merita aquarum ipse discreuit, dum Samariae apostasiae originem in proprio fonte damnauit: qui biberit, inquit, ex hac aqua sitiet iterum; qui biberit ex aqua quam ego dedero, non sitiet in aeternum, sed fiet in eo fons aquae salientis in uitam aeternam.-. Catholicus respondit: Haec utique ideo posuisti, ut nos catholicos quasi Samaritanos et sine baptismo demonstrares. iam ergo Donatistas in Samaritanos incipe speculari. Samaritanorum dogma Regnorum libro docente tale fuit: deum timebant et simul figmenta colebant; diuinam legem seruabant et patrum errores minime deserebant; circumcisionis signum habebant et Israhelitarum collegium non tenebant. hoc et uos facitis. deum metuitis et figmentum luteum Donatum pariter colitis — et hic enim ex terra figuratus est —; diuinam legem seruatis et parentum errorem non relinquitis; baptismi habetis sacramentum et catholicorum non uultis habere consortium. ecce uos eis per omnia similatis. sicut ergo tunc Samaritanorum circumcisio secundo dari non poterat, ita nunc Donatistarum baptisma iterari non debet, domino Christo 6 loh. 7, 37—38 11 Ioh. 7, 38 15 lob. 4, 13-14 22 cf. III Reg. 12. 13 .. 3 I mg: as Donatistia IIml r 5 abduceret v perhennes u austus aml 7 dicit] add . flumina de uentre eius fluent aquae uiuae m 10 non a ne (e s. I. s) ssv 11 IT mg. as sicut dicit uv 12 uiui asmlm uiua sm2 13 ipse om. m\' 15 pr . qui] quae a inquid u aqua hac IIml ..19 utique om. s 21 in samaritanis sm2 docma u 24 disserebant aml diserebant am2sml hisrahelitarum sm1 israelitarum m 26 enim] pariter IIml terre asml terrae puluere v 28 derelinquitis sml 29 similiatis IIml sicut] sic s si s docente: qui semel lotus est non habet necessitatem iterum lauandi. circumcisio enim Samaritanorum baptisma significat Donatistarum, dicente apostolo: circumcisi estis circumcisione non manu facta in expoliatione corporis carnis, sed in circumcisione Christi, consepulti ei in baptismo. quod autem ait dominus: qui biberit ex hac aqua sitiet iterum, non de baptismate, sed de terreno locutus est elemento. nam si baptisma hic uellet ostendere, nullo modo a Samaritana muliere posceret bibere. denique puteus ille non Samariae dictus est, sed Iacob, et utique Iacob non fuit haereticus, sed deo dilectus, semper carus, et ipse ex eo bibit et filii eius et pecora eius. 
3	Donatista dixit: Numquam ergo ecclesiae spiritus patitur iungi quod ore diuino meruit diffamari, legis praeconio praemonente: duo duo, unum contra unum, et dominus in euangelio: tunc, inquit, duo erunt in agro; unus assumetur, et unus relinquetur. duo molentes in molendino; una assumetur, et una relinquetur. uides ergo duo esse genera baptismatum et duo praemia meritorum, dum unum letalis ingenii ardor exurit et bibula sitis perennes haustus excoquit, alterum, quod semel potandorum meatibus sitim uitae perennitate satiat. utique in effossis gurgitibus perpetuas ariditates ostendit, et cum eis uitae meritum clausit, mortis aditum patefecit, dicente 1 Ioh. 13, 10 3 Col. 2, 11-12 6 Ioh. 4, 13 11 Ioh. 4, 12 15 Eccli. 33, 15 16 Matth. 24, 40-41 2 enim v e (= est) eras. in a, om. ss baptismam aml 3 circumcisi] circumcisione 111 4 circumcisione] circumsione a exspoliatione su 7 aqua hac 111 8 ostenderet aml 9 a samaritana bis a\' posceret bibere sm2s pos amlsml postulasset am2v ille om. m 11 sed in deo deo m sed ideo deo u 13 III mg. as Numquid u 15 duo contra duo v 17 duae (-e m) smv, cf. Roensch, It.:I p. 277 18 uidentes mmlu uidetis mm2 genera esse v 19 baptismatum genera mml dum unum] unum quod mm2 20 bibulas istis aml bibula itis am2sml bibulae sitis v perennas aml perhennes ux exquoquid aml excoquid u 21 potandorum (scil . haustuum) m pota(-te- umI)ndarum cet. v sitim mm2 situm asmml sitium uv perennitatem v 22 saciat mm2 sanctiunt cet . sanciuit s. I. am2, et v in effossis utique s 23 eis (scil . effossis gurgitibus) scripsi ei codd. (quod uix ad unum genus baptismatum referri posse uidetur) eius v uitae] pie asmlv additum am1 19* Hieremia: duo mala faciunt populus iste. me dereliquerunt fontem aquae uiuae et effoderunt sibi lacus detritos qui aquam non possunt portare, et iterum: omnes qui derelinquunt te confundantur, recedentes a te scribantur in libro mortis; quoniam dereliquerunt te, confundantur recedentes a te fonte uitae. Catholicus respondit: Tu unum contra unum, ego multa baptisma assero contra unum. etenim paganus baptizat et Iudaeus baptizat et Sadducaeus baptizat et multi extra regulam datae legis baptizare non cessant. sed illud est unum quod uerum, illud uerum quod Christi, illud Christi quod patris et filii et spiritus sancti. hoc est uerum, hoc salubre; huic nullum est comparandum. hoc qui non accipit, ipse sibi et uitae meritum clausit et mortis aditum patefecit. 
4	Donatista dixit: Quodsi, ut asseris, una fides in utroque consistit, cur inter fidelem aquam et perfidam iusta separatione discreuit, testante domino per Esaiam: quis nuntiauit uobis quia ignis ardet? quis nuntiauit uobis locum illum aeternum? ambulans in iustitia, praedicans uiam rectam, odio habens facinus et iniustitiam et manus abstinens a muneribus et grauans aurem ut non audiat iudicium sanguinis et comprimens oculos suos ne uideant iniquitatem, hic inhabitabit in alta spe; fortis panis illi dabitur et aqua eius fidelis. a cuius fide perfidam separans Hieremia testante sic posuit: ut quid iniuriantes me praeualent? plaga mea solida facta est: unde sanabo? facta est mihi sicut aqua mendax non habens fidem. 1 Hier. 2, 13 4 Hier. 17, 13 17 Esai. 33, 14-16 25 Hier. 15, 18 1 hieremiae am1 faciunt mala um1 facit mm2 fecit v derelinquerunt asml 2 fontem aquae uiuae om. asuv 4 confundentur et 5 scribentur mm2v 5 in libro] inbro amlsm2 in rubro am2 quoniam bis u derelinquerunt a 6 coufundantur-fonte] fontem v 7 baptismata sm211V, cf. p. 298, 3. 24 9 saduceus am 10 quod om. m 11 quod xpo aml 12 hoc est salubre hoc uerum s 15 IIII mg. as quod sicut asml 16 perfidem a 17 testante bis mm1 dno] add . qui ait u nuntiabit hic et Un. 18 Engelbrecht 18 quia-nobis om. asm 23 uideat mm2 inhabitauit a habitabit s specu (orojXaup) Engelbrecht 24 fidelis] fidele uml 25 perfidam (scil . aquam) asmmlu perfidie mm2 perfidiam v 26 iniurantes asml 27 sanabor v Catholicus respondit: Haeretici omnes licet in sua sibi disputatione discordent, in baptismi tamen traditione sollemni uerbo concordant, sicut circumcisio una, sed fide uaria, in Iudaeis et Samaritanis ueteribus consistebat. necesse est ergo, sicut tunc, ita et nunc fieri oportere conuersis, ut quod disputatione sola plectatur sola iterum disputatione soluatur, ut audire de domino possint: iam mundi estis propter sermonem quod locutus sum uobis; manete in me, et ego in nobis. omnia enim in figura contingebant illis, scripta sunt autem ad correptionem nostram, in quos fines saeculorum deuenerunt. 
5	Donatista dixit: Ezechiel quoque sic dicit: et uidebant quia plures sunt qui auerterunt aquam antiquae piscinae, et non aspexerunt ad eum qui fecit eam ab initio, et eum qui illam condidit non uiderunt. inaudita dementia perfidorum, nec diuinis uelle uocibus credere nec apostoli simplicem doctrinam erroris sui faucibus uelle seruare! Catholicus respondit: Absit, absit ut aquam antiquae piscinae, sicut uos, in partem ducamus aut diuinis eloquiis non credamus. quod legimus credimus et quod credimus praedicamus. audi quae sit origo nostra et ubi eius aqua diffusa. in Zacharia sic habes: exibunt aquae uiuae de Hierusalem; medium earum ad mare (orientale et medium earum ad mare) nouissimum — hoc est ab Hierusalem usque ad fines terrae —; aestate et hieme erunt — id est omni tempore erunt - ; et erit dominus rex super omnem terram, hoc est omni terrae Christus dominabitur, non Donatus. haec est possessio, haec hereditas Christi quae a sanctis colitur et perenni fonte rigatur, de qua ei dictum est: dabo tibi gentes hereditatem tuam et possessionem tuam terminos terrae. 7 lob. 15, 3—4 8 I Cor. 10, 11 12 Esai. 22, 9 14 Esai. 22, 11 22 Zach. 14, 8-9 29 Ps. 2, 8 1 V mg. as respondit] 5 m (passim) hereticus omnis a 2 discordet s 3 concordat s 5 plectatur scripsi pectatur aml peccatur am2sz petatur v nectatur Engelbrecht 7 quod a quem sso 9 correctionem m 10 fines om. asml 12 VI mg. as ezechihel as sicut s dixit uv uidebant Engelbrecht uidebunt codd. v 13 prures aml antiquamne mml 15 niderent uml 17 facibus aml 18 VII mg. as aqua asu 19 uos in partem uos u 23 orientale-mare om. codd.; an primum (rJjv TtpcotYjv) pro orientale scribendum ? 24 ab sv ad aml a am2s 28 quae a] qua ea a 29 dabi aml qui in ipsa est, heres ascriptus est, qui in ipsa non est, iam damnatus est et morti destinatus est, scriptura dicente: qui egressus fuerit domus tuae fores, ipse sibi reus erit. 
6	Donatista dixit: Hinc sibi deus unicum baptismum esse proclamat, hinc apostolus unum cunctis dixisse confirmat, deo per Salomonem probante: hortus conclusus, soror mea sponsa mea, fons signatus, puteus aquae uiuae, paradisus cum fructu pomorum. Catholicus respondit: Recordare legem et aduerte diligenter et uide quod ex hoc paradiso, ex hoc horto concluso, ex hoc fonte signato etiam foris salutis unda decurrat, quae uadit contra Assyrios, contra uos uidelicet Donatistas. ex Assyriis enim Samaritani illi nascuntur qui uobis sunt comparati. ipse est, inquit scriptura, fluuius qui uadit contra Assyrios, contra inimicam dei populo gentem. non pro illis uadit, sed contra. quibusdam enim-est odor mortis in morte, quibusdam uero odor uitae in uita. sicut enim, qui manducat et bibit sanguinem domini indigne, iudicium sibi manducat et bibit, sic et qui accipit indigne baptisma iudicium sibi accipit, non salutem. nam et ludas proditor bonum corpus et Simon magus bonum baptisma Christi percepit, sed quia bono bene non usi sunt, mali male utendo deleti sunt. bonum est baptisma, bonum est Christi sanguis et corpus, bona est et lex, sed si quis ea legitime utatur. neque quia et foris est diuina non est, aut quia ab alienis habetur aliena putabitur, aut quia a malis iniuste tractatur a nobis iuste damnabitur. aqua paradisi aqua trinitatis est. hanc ubi agnoscimus, paradisi non negamus, hanc ubi non perspicimus, paradisi omnino non dicimus. quaecumque foris nata 2 Ios. 2, 19 6 Cant. 4, 12-13 13 Gen. 2, 14 15 II Cor. 2, 16 17 I Cor. 11, 29 23 cf. I Tim. 1, 8 1 ipsa non est] ipsa est non est a 2 pr . est om. v alt . est om. m 3 fores domus tuae uv 4 VIII mg. as adigit uml Hinc hinc m baptisma uv 5 confirmatur smmlu deo] ideo u 6 probantem a ortus codd . 9 VIIII mg. as legem et sm2s lege mea a legem mea sml lege omnia v aduerte] a. legem s 10 ex paradyso (om . hoc) s horto ex osto a ex hoc horto concluso om. s 11 quae] quo u 12 assirios au donatista a assiriis as 13 inquid u 14 assirios a 15 populo dei s 16 mortem et 17 uitam ev 19 bibet asml sibi om. av 20 proditor iudas 3 22 deleti] dediti u est] et asml baptisma est s 23 alt . et om. v 24 ea] a asml quia et] enim et quia v 26 dam(damp- w)natur s 28 paradiso sml est, paradisi nullo modo dicenda est: ut puta Manicheus, quia numquam fuit in paradiso nec sicut uos de ecclesia foras egressus est, aqua paradisi putandus (non) est, quia foris exortus est. hic opus habet ut uiuat, (ne) in aeternum moriatur, sed ut legitime uiuat in -ipsa uiuat, ne iudicium manducet et bibat. 
7	Donatista dixit: E contra apostolus dixisse testatur: unus deus, una fides, unum baptisma. nulla in diuina doctrina uarietas, per omnia dominum sequitur seruus, in nullo differt a magistro discipulus. Catholicus respondit: Quem sequeris, quem imitaris, quem huius flagitii arbitraris auctorem? da mihi aliquem sanctorum post trinitatem rebaptizare, quod facis. lege mihi non illas scripturas, quarum auctoritate non teneor, sed noui et ueteris testamenti, quibus utrique subicimur. si unum est baptisma, cur duplicas unum? non enim aliud iteras quam quod inuenis uerum. quoniam ergo quae destruxistis ea, sicut dixit, reaedificatis, praeuaricatores uos esse monstratis. 
8	Donatista dixit: Aut si unum putas cum reis aliqua permixtione coniunctum sacramentum baptismi, audi prophetas quibus sit recte dispensum, dicente Salomone: fons uitae in manibus iusti. Catholicus respondit: Bene de uobis dominus dixit; qui errorem uestrum ante praeuidit: uos qui iustificatis uos coram hominibus, deus autem nouit corda uestra, quia quod altum est hominibus abominabile est apud deum. si iustus es et fons uitae in manu tua est, non homo, sed deus es. ad te confugiatur, tibi credatur, in te spes omnis uitae ponatur, ipsum baptisma in nomine tuo detur et de domino taceatur, uis scire ubi hunc fontem uitae requiras? in psalmo habes: apud te est fons uitae et in lumine tuo uidebimus lumen. 6 Eph. 4, 5 16 cf. Gal. 2, 18 20 Prou. 10, 11 23 Luc. 16, 15 29 Ps. 35, 10 3 paradi s putandus (ut coni. Morelius) codd . potandus v non addidi exorsus m 4 ne v, om. codd . 5 in ipsa] in eternum in ipsa s 7 doctrina diuina v 10 Cath responfl hoc loco mm2, ante da mihi (lin. 11) v, om. asmmlu 11 flagitiis a post (t 8. I. ml) a 16 sicut dixit] dixit asml sicut dixit apostolus mm2 iterum (sic!) v redificatis as 18 XI mg. as cum] cur mm2 reis v res asml est (del. s) sm2z 20 dispensatum mm2 22 XII mg. as 23 uos estis qui v 24 dominus uv nostra a 25 aput II 27 ad] a u 28 deo sm1 daceatur am1 non legisti: filius malus superbos oculos habet, filius malus ipse se iustum dicit, exitus autem suos non abluet? nisi (te) ut hominem reum esse cognoueris, nisi te peccatorem ueraci corde clamaueris, iustificari omnino non poteris, dicente propheta: dic tu iniquitates tuas, ut iustificeris. et Iohannes apostolus: si dixerimus quia peccatum non habemus, nos ipsos decipimus et ueritas in nobis non est. 
9	Donatista dixit: Et Dauid dicit: oleum autem peccatoris non inpinguet caput meum. Catholicus respondit: Da ergo mihi aliquem tuorum quem probes non esse peccatorem, ut oleum uestrum non possit esse peccatoris, cum scriptum sit: nullus est hominum qui non peccet. interpres male, desuper lege, ut sensum possis accipere. sic ait: corripiet me iustus in misericordia et increpabit me; oleum autem peccatoris non unguat caput meum, hoc est: melior est misericors increpatio quam lenis adulatio, sicut et illud: meliora sunt uulnera amici quam uoluntaria oscula inimici. oleum peccatoris blandimentum est adulatoris, de quo alibi dicit: molliti sunt sermones eius super oleum et ipsi sunt iacula. oleum iusti spiritus est dei, dicente Petro: Iesum a Nazareth, quem unxit deus spiritu sancto. desine itaque spiritum sanctum oleum dicere peccatoris, ne deum incipias asserere peccatorem. 
10	Donatista dixit: Aperta confectio perfidorum isto loco monstratur, quae inimica praesumptione a facinoroso sacerdote contacta polluitur, cuius sacrificium uelut oleum uoce diuina respuitur. facineros u s, inquit, qui sacrificatmihi (uitulum) uelut quicanem 1 Prou. 24, 36. 35 (30, 13. 12) 5 Esai. 43, 26 6 1 Ioh. 1, 8 9 Ps. 140, 5 13 Eccle. 7, 21 15 Ps. 140, 5 18 Prou. 27, 6 20 Ps. 54, 22 22 Act. 10, 38 27 Esai. 66, 3 2 se om. a iustum se s 3 te v, om. codd., post esse add. mm2 peccatorem te m 5 dic tu om. asml dic prior v 9 XIII mg. as 10 inpiguat a impinguat s 11 XIIII mg. as Da] Dic v, cf. p. 295,11 14 interpres (es in ras. s) su interpretes av interpretaris m malo v accipere] habere mml 15 increpauit as 16 unguat] inpinguet s 20 adulteratoris sml 21 dei est s 22 a om. m nazareht a unixit u deus deus s 23 peccatoris dicere s 25 XV mg. as fort . aperte confectio scripsi confessio codd. v, cf. p. 297, 7. 299, 29. 300, 1 26 contracta asm 27 facinorosus ssv 28 uitulum addidi carnem u occidat, et qui offert similaginem quasi sanguinem porcinum, et qui offert thus in memoria quasi blasphemus. Catholicus respondit: Certum est quod sacerdotis et plebis execretur deus ac despiciat holocausta, si bona non affuerit conscientia. aut si de sacerdotibus solum dictum cupis intellegi, quomodo apud uos facinorosorum non polluitur confectio sacerdotum? dicis: \'quamdiu mali latent inquinare non possunt, propter quod scriptum est: quae occulta, mihi, quae manifesta sunt, uobis\'. si ergo quamdiu mali latent inquinare non possunt, cur longe positas nationes, quibus nomen Donati et Caeciliani habetur incognitum, rebaptizare non times? quis uestrum aliquorum mala in eorum pertulit aliquando notitia? et si pertulisset et non probasset, in nullo prorsus obesset iuxta illud: quae occulta sunt, mihi, quae manifesta sunt, uobis. 
