pr.1	 Pervincis tandem et operta musarum mearum, quae initiorum velabat obscuritas, quamquam non profanus, irrumpis, Paule carissime, quamvis enim te non eius vulgi existimem, quod Horatius arcet ingressu, tamen sua cuique sacra, neque idem Cereri, quod Libero, etiam sub isdem cultoribus, poematia, quae in alumnam meam luseram rudia et incohata ad domesticae solacium cantilenae, cum sine metu laterent et arcana securitate fruerentur, proferre ad lucem caligantia coegisti. verecundiae meae scilicet spolium concupisti, aut, quantum tibi in me iuris esset, ab invito indicari. ne tu Alexandri Macedonis pervicaciam supergressus, qui, fatalis iugi lora cum solvere non posset, abscidit et Pythiae specum, quo die fas non erat patere, penetravit. Utere igitur ut tuis, pari iure, sed fiducia dispari: quippe tua possunt populum non timere; meis etiam intra me erubesco, vale. 
1.1	UT voluisti, Paule, cunctos Bissulae versus habes,
1.2	lusimus quos in Suebae gratiam virgunculae,
1.3	otium magis foventes, quam studentes gloriae,
1.4	tu molestus flagitator lege molesta carmina,
1.5	tibi, quod intristi, exedendum est : sic vetus verbum iubet, 
1.6	compedes, quas ipse fecit, ipsus ut gestet faber.
2.1	CARMINIS incompti tenuem lecture libellum,
2.2	pone supercilium,
2.3	seria contractis expende poemata rugis:
2.4	nos Thymelen sequimur.
2.5	Bissula in hoc scedio cantabitur, haut Erasinus: 
2.6	admoneo, ante bibas,
2.7	ieiunis nil scribo; meum post pocula si quis
2.8	legerit, hic sapiet.
2.9	sed magis hic sapiet, si dormiet et putet ista
2.10	somnia missa sibi. 
3.1	BISSULA, trans gelidum stirpe et lare prosata Rhenum,
3.2	conscia nascentis Bissula Danuvii,
3.3	capta manu, sed missa manu dominatur in eius
3.4	deliciis, cuius bellica praeda fuit.
3.5	matre carens, nutricis egens, quae nescit herai 
3.6	imperium, domini quae regit ipsa domum, 
3.7	fortunae ac patriae quae nulla obprobria sensit,
3.8	illico inexperto libera servitio,
3.9	sic Latiis mutata bonis, Germana maneret
3.10	ut facies, oculos caerula, flava comas. 
3.11	ambiguam modo lingua facit, modo forma puellam:
3.12	haec Rheno genitam praedicat, haec Latio.
4.1	DELICIUM, blanditiae, ludus, amor, voluptas,
4.2	barbara, sed quae Latias vineis alumna pupas,
4.3	Bissula, nomen tenerae rusticulum puellae,
4.4	horridulum non solitis, sed domino venustum.
5.1	BISSULA nec ceris nec fuco imitabilis ullo
5.2	naturale decus fictae non commodat arti.
5.3	sandyx et cerusa, alias simulate puellas:
5.4	temperiem hanc vultus nescit manus, ergo age, pictor,
5.5	puniceas confunde rosas et lilia misce, 
5.6	quique erit ex illis color aeris, ipse sit oris.
6.1	PINGERE si nostram, pictor, meditaris alumnam,
6.2	aemula Cecropias ars imitetur apes.
