pr	Ausonius Paulo S. Perlege hoc etiam, si operae est, frivolum et nullius pretii opusculum, quod nec labor excudit nec cura limavit, sine ingenii acumine et morae maturitate. Centonem vocant, qui primi hac concinnatione luserunt. solae memoriae negotium sparsa colligere et integrare lacerata, quod ridere magis quam laudare possis, pro quo, si per sigillaria in auctione veniret, neque Afranius naucum daret, neque ciccum suum Plautus offerret, piget enim Vergiliani carminis dignitatem tam ioculari dehonestasse materia, sed quid facerem? iussum erat: quodque est potentissimum imperandi genus, rogabat, qui iubere poterat, sanctus imperator Valentinianus, vir meo iudicio eruditus, nuptias quondam eiusmodi ludo descripserat, aptis equidem versibus et compositione festiva. experiri deinde volens, quantum nostra contentione praecelleret, simile nos de eodem concinnare praecepit, quam scrupulosum hoc mihi fuerit, intellege: neque ante-ferri volebam neque posthaberi, cum aliorum quoque iudicio detegenda esset adulatio inepta, si cederem, insolentia, si ut aemulus eminerem. suscepi igitur similis recusanti feliciterque et obnoxius gratiam tenui nec victor offendi. Hoc, tum die uno et addita lucubratione propera-tum, modo inter liturarios meos cum reperissem, tanta mihi candoris tui et amoris fiducia est, ut severitati tuae nec ridenda subtraherem. accipe igitur opusculum de inconexis continuum, de diversis unum, de seriis ludicrum, de alieno nostrum: ne in sacris et fabulis aut Thyonianum mireris aut Virbium, illum de Dionyso, hunc de Hippolyto reformatum. Et si pateris, ut doceam docendus ipse, cento quid sit, absolvam. variis de locis sensibusque diversis quaedam carminis structura solidatur, in unum versum ut coeant aut caesi duo aut unus et sequens <medius> cum medio, nam duos iunctim locare ineptum est, et tres una serie merae nugae. diffinduntur autem per caesuras omnes, quas recipit versus heroicus, convenire ut possit aut penthemimeris cum reliquo anapaestico, aut trochaice cum posteriore segmento, aut septem semipedes cum anapaestico chorico, aut <ponatur> post dactylum atque semipedem quidquid restat hexametro: simile ut dicas ludicro, quod Graeci ostomachion vocavere. ossicula ea sunt: ad summam quattuordecim figuras geometricas habent, sunt enim aequaliter triquetra vel extentis lineis vel eiusdem frontis, vel rectis 1 angulis vel obliquis: isoscele ipsi vel isopleura vocant, orthogonia quoque et scalena. harum verticularum ariis coagmentis simulantur species mille formarum: helephantus belua aut aper bestia, anser volans et mirmillo in armis, subsidens venator et latrans canis, quin et turris et cantharus et alia huiusmodi innumerabilium figurarum, quae alius alio scientius variegant. sed peritorum concinnatio miraculum est, imperitorum iunctura ridiculum, quo praedicto scies, quod ego posteriorem imitatus sum. Hoc ergo centonis opusculum ut ille ludus tractatur, pari modo sensus diversi ut congruant, adoptiva quae sunt, ut cognata videantur, aliena ne interluceant: arcessita ne vim redarguant, densa ne supra modum protuberent, hiulca ne pateant. quae si omnia ita tibi videbuntur, ut praeceptum est, dices me composuisse centonem, et quia sub imperatore meo tum merui, procedere mihi inter frequentes stipendium iubebis: sin aliter, aere dirutum 1 facies, ut cumulo carminis in fiscum suum redacto redeant versus, unde venerunt, vale. 
1	ACCIPITE haec animis laetasque advertite mentes, 
2	ambo animis, ambo insignes praestantibus armis; 
3	ambo florentes, genus insuperabile bello. 
4	tuque prior, nam te maioribus ire per altum
5	auspiciis manifesta fides, quo iustior alter 
6	nec pietate fuit, nec bello maior et armis; 
7	tuque puerque tuus, magnae spes altera Romae, 
8	flos veterum virtusque virum, mea maxima cura, 
9	nomine avum referens, animo manibusque parentem. 
10	non iniussa cano. sua cuique exorsa laborem 
11	fortunamque ferent: mihi iussa capessere fas est. 
12	EXPECTATA dies aderat dignisque hymenaeis 
13	matres atque viri, iuvenes ante ora parentum 
14	conveniunt stratoque super discumbitur ostro,
15	dant famuli manibus lymphas onerantque canistris 
16	dona laboratae Cereris pinguisque ferinae 
17	viscera tosta ferunt. series longissima rerum: 
18	alituum pecudumque genus capreaeque sequaces 
19	non absunt illic neque oves haedique petulci 
20	et genus aequoreum, dammae cervique fugaces: 
21	ante oculos interque manus sunt mitia poma. 
22	Postquam exempta fames et amor compressus edendi, 
23	crateras magnos statuunt Bacchumque ministrant. 
24	sacra canunt, plaudunt choreas et carmina dicunt. 
25	nec non Thraeicius longa cum veste sacerdos 
26	obloquitur numeris septem discrimina vocum. 
27	at parte ex alia biforem dat tibia cantum. 
28	omnibus una quies operum, cunctique relictis
29	consurgunt mensis: per limina laeta frequentes, 
30	discurrunt variantque vices populusque patresque 
31	matronae, pueri, vocemque per ampla volutant
32	atria: dependent lychni laquearibus aureis. 
33	TANDEM progreditur Veneris iustissima cura, 
34	iam matura viro, iam plenis nubilis annis, 
35	virginis os habitumque gerens, cui plurimus ignem 
36	subiecit rubor et calefacta per ora cucurrit, 
37	intentos volvens oculos, uritque videndo. 
38	illam omnis tectis agrisque effusa iuventus
39	turbaque miratur matrum. vestigia primi
40	alba pedis, dederatque comam diffundere ventis. 
41	fert picturatas auri subtemine vestes, 
42	ornatus Argivae Helenae: qualisque videri
43	caelicolis et quanta solet Venus aurea contra, 
44	talis erat species, talem se laeta ferebat 
45	ad soceros solioque alte subnixa resedit. 
46	AT parte ex alia foribus sese intulit altis 
47	ora puer prima signans intonsa iuventa, 
48	pictus acu chlamydem auratam, quam plurima circum
49	purpura maeandro duplici Meliboea cucurrit, 
50	et tunicam, molli mater quam neverat auro: 
51	os umerosque deo similis lumenque iuventae. 
52	qualis, ubi oceani perfusus Lucifer unda 
53	extulit os sacrum caelo: sic ora ferebat, 
54	sic oculos cursuque amens ad limina tendit. 
55	illum turbat amor figitque in virgine vultus; 
56	oscula libavit dextramque amplexus inhaesit. 
57	INCEDUNT pueri pariterque ante ora parentum 
58	dona ferunt, pallam signis auroque rigentem, 
59	munera portantes aurique eborisque talenta
60	et sellam et pictum croceo velamen acantho, 
61	ingens argentum mensis colloque monile
62	bacatum et duplicem gemmis auroque coronam. 
63	olli serva datur geminique sub ubere nati: 
64	quattuor huic iuvenes totidem innuptaeque puellae: 
