praef.1	Vos etiam, quos nulla mihi cognatio iunxit,
praef.2	set fama et carae relligio patriae,
praef.3	et studium in libris et sedula cura docendi,
praef.4	commemorabo viros morte obita celebres,
praef.5	fors erit, ut nostros manes sic adserat olim, 
praef.6	exemplo cupiet qui pius esse meo.
1.1	PRIMUS Burdigalae columen dicere, Minervi,
1.2	alter rhetoricae Quintiliane togae.
1.3	inlustres quondam quo praeceptore fuerunt
1.4	Constantinopolis, Roma, dehinc patria,
1.5	non equidem certans cum maiestate duarum, 
1.6	solo set potior nomine, quod patria:
1.7	adserat usque licet Fabium Calagurris alumnum,
1.8	non sit Burdigalae dum cathedra inferior,
1.9	mille foro dedit hic iuvenes, bis mille senatus
1.10	adiecit numero purpureisque togis; 
1.11	me quoque: set quoniam multa est praetexta, silebo
1.12	teque canam de te, non ab honore meo.
1.13	sive panegyricis placeat contendere libris,
1.14	in Panathenaicis tu numerandus eris;
1.15	seu libeat fictas ludorum evolvere lites, 
1.16	ancipitem palmam Quintilianus habet,
1.17	dicendi torrens tibi copia, quae tamen aurum,
1.18	non etiam luteam volveret inluviem.
1.19	et Demosthenicum, quod ter primum ille vocavit,
1.20	in te sic viguit, cedat ut ipse tibi. 
1.21	anne et divini bona naturalia doni
1.22	adiciam, memori quam fueris animo,
1.23	audita ut vel lecta semel ceu fixa teneres,
1.24	auribus et libris esset ut una fides?
1.25	vidimus et quondam tabulae certamine longo 
1.26	omnes, qui fuerant, te numerasse bolos,
1.27	alternis vicibus quot praecipitante rotatu
1.28	fundunt excisi per cava buxa gradus:
1.29	narrantem fido per singula puncta recursu,
1.30	quae data, per longas quae revocata moras. 
1.31	nullo felle tibi mens livida, tum sale multo
1.32	lingua dicax blandis et sine lite iocis,
1.33	mensa nitens, quam non censoria regula culpet
1.34	nec nolit Frugi Piso vocare suam:
1.35	nonnumquam pollens natalibus et dape festa, 
1.36	non tamen angustas ut tenuaret opes.
1.37	quamquam heredis egens, bis sex quinquennia functus,
1.38	fletus es a nobis ut pater et iuvenis.
1.39	Et nunc, sive aliquid post fata extrema superfit,
1.40	vivis adhuc aevi, quod periit, meminens: 
1.41	sive nihil superest nec habent longa otia sensus,
1.42	tu tibi vixisti: nos tua fama iuvat.
2.1	NEC me nepotes impii silentii
2.2	reum ciebunt, Alcime,
2.3	minusque dignum, non et oblitum ferent
2.4	tuae ministrum memoriae,
2.5	opponit unum quem viris prioribus 5 
2.6	aetas recentis temporis,
2.7	palmae forensis et camenarum decus,
2.8	exemplar unum in litteris,
2.9	quas aut Athenis docta coluit Graecia,
2.10	aut Roma per Latium colit. 
2.11	moresne fabor et tenorem regulae
2.12	ad usque vitae terminum?
2.13	quod laude clarus, quod operatus litteris
2.14	omnem refugisti ambitum?
2.15	te nemo gravior vel fuit comis magis 
2.16	aut liberalis indigis,
2.17	danda salute, si forum res posceret;
2.18	studio docendi, si scholam.
2.19	vivent per omnem posterorum memoriam,
2.20	quos tu sacrae famae dabas 
2.21	et Iulianum tu magis famae dabis
2.22	quam sceptra, quae tenuit brevi.
2.23	Sallustio plus conferent libri tui,
2.24	quam consulatus addidit,
2.25	morum tuorum, decoris et facundiae 
2.26	formam dedisti filiis.
2.27	Ignosce nostri laesus obsequio stili:
2.28	amoris hoc crimen tui est,
2.29	quod digna nequiens promere officium colo,
2.30	iniuriose sedulus. 30 
2.31	quiesce placidus et caduci corporis
2.32	damnum repende gloria.
3.1	RHETORA Luciolum, condiscipulum atque magistrum
3.2	collegamque dehinc, nenia maesta refer,
3.3	facundum doctumque virum, seu lege metrorum
3.4	condita seu prosis solveret orsa modis,
3.5	eripuit patri Lachesis quem funere acerbo 
3.6	linquentem natos sexu in utroque duos:
3.7	nequaquam meritis cuius responderit heres
3.8	obscurus, quamvis nunc tua fama iuvet.
3.9	Mitis amice, bonus frater, fidissime coniunx,
3.10	nate pius, genitor: paenitet, ut fueris. 10 
3.11	comis convivis, numquam inclamare clientes,
3.12	ad famulos numquam tristia verba loqui,
3.13	ut placidos mores, tranquillos sic cole manes
3.14	et cape ab Ausonio munus, amice, vale.
4.1	AETATE quamquam viceris dictos prius,
4.2	Patera, fandi nobilis;
4.3	tamen, quod aevo floruisti proximo
4.4	iuvenisque te vidi senem,
4.5	honore maestae non carebis neniae, 
4.6	doctor potentum rhetorum.
4.7	tu Baiocassi stirpe Druidarum satus,
4.8	si fama non fallit fidem,
4.9	Beleni sacratum ducis e templo genus,
4.10	et inde vobis nomina: 
4.11	tibi Paterae: sic ministros nuncupant
4.12	Apollinares mystici.
4.13	fratri patrique nomen a Phoebo datum
4.14	natoque de Delphis tuo.
4.15	doctrina nulli tanta in illo tempore 
4.16	cursusque tot fandi et rotae:
4.17	memor, disertus, lucida facundia,
4.18	canore, cultu praeditus,
4.19	salibus modestus felle nullo perlitis,
4.20	vini cibique abstemius, 
4.21	laetus, pudicus, pulcher, in senio quoque
