pr	En umquam vidisti tabulam 1 pictam in pariete? vidisti utique et meministi. Treveris quippe in triclinio Zoili fucata est pictura haec: Cupidinem cruci adfigunt mulieres amatrices, non istae de nostro saeculo, quae sponte peccant, sed illae heroicae, quae sibi ignoscunt et plectunt deum. quarum partem in lugentibus campis Maro noster enumerat. hanc ego imaginem specie et argumento miratus sum. Deinde mirandi stuporem transtuli ad ineptiam poetandi. mihi praeter lemma nihil placet; sed commendo tibi errorem meum: naevos nostros et cicatrices amamus, nec soli nostro vitio peccasse contenti, adfectamus ut amentur. verum quid ego huic eclogae studiose patrocinor? certus sum, quodcumque meum scieris, amabis; quod magis spero, quam ut laudes, vale et dilige parentem.
1	AERIS in campis, memorat quos musa Maronis, 1
2	myrteus amentes ubi lucus opacat amantes, 2
3	orgia ducebant heroides et sua quaeque,
4	ut quondam occiderant, leti argumenta gerebant,
5	errantes silva in magna et sub luce maligna 3 
6	inter harundineasque comas gravidumque papaver
7	et tacitos sine labe lacus, sine murmure rivos:
8	quorum per ripas nebuloso lumine marcent
9	fleti, olim regum et puerorum nomina, flores 4
10	mirator Narcissus et Oebalides Hyacinthus 
11	et Crocus auricomans et murice pictus Adonis
12	et tragico scriptus gemitu Salaminius Aeas;
13	omnia quae lacrimis et amoribus anxia maestis
14	exercent memores obita iam morte dolores:
15	rursus in amissum revocant heroidas aevum. 
16	fulmineos Semele decepta puerpera partus
17	deflet et ambustas lacerans per inania cunas
18	ventilat ignavum simulati fulguris ignem,
19	irrita dona querens, sexu gavisa virili,
20	maeret in antiquam Caenis revocata figuram. 
21	vulnera siccat adhuc Procris Cephalique eruditam
22	diligit et percussa manum, fert fumida testae
23	lumina Sestiaca praeceps de turre puella,
24	et de nimboso saltum Leucate minatur
25	mascula Lesbiacis Sappho peritura sagittis. 1
26	Harmoniae cultus Eriphyle maesta recusat,
27	infelix nato nec fortunata marito,
28	tota quoque aeriae Minoia fabula Cretae
29	picturarum instar tenui sub imagine vibrat:
30	Pasiphae nivei sequitur vestigia tauri, 
31	licia fert glomerata manu deserta Ariadne,
32	respicit abiectas desperans Phaedra tabellas.
33	haec laqueum gerit, haec vanae simulacra coronae:
34	Daedaliae pudet hanc latebras subiisse iuvencae.
35	praereptas queritur per inania gaudia noctes 
36	Laudamia duas, vivi functique mariti,
37	parte truces alia strictis mucronibus omnes
38	et Thisbe et Canace et Sidonis horret Elissa:
39	coniugis haec, haec patris et haec gerit hospitis ensem,
40	errat et ipsa, olim qualis per Latmia saxa 
41	Endymioneos solita adfectare sopores,
42	cum face et astrigero diademate Luna bicornis.
43	centum aliae veterum recolentes vulnera amorum
44	dulcibus et maestis refovent tormenta querellis.
45	Quas inter medias furvae caliginis umbram 
46	dispulit inconsultus Amor stridentibus alis.
47	agnovere omnes puerum memorique recursu
48	communem sensere reum, quamquam umida circum
49	nubila et auratis fulgentia cingula bullis
50	et pharetram et rutilae fuscarent lampados ignem. 
51	agnoscunt tamen et vanum vibrare vigorem
52	occipiunt hostemque unum loca non sua nanctum,
53	cum pigros ageret densa sub nocte volatus,
54	facta nube premunt: trepidantem et cassa parantem
55	suffugia in coetum mediae traxere catervae. 
56	eligitur maesto myrtus notissima luco,
57	invidiosa deum poenis, cruciaverat illic
58	spreta olim memorem Veneris Proserpina Adonin.
59	huius in excelso suspensum stipite Amorem
60	devinctum post terga manus substrictaque plantis 
61	vincula maerentem nullo moderamine poenae
62	adficiunt. reus est sine crimine, iudice nullo
63	accusatur Amor. se quisque absolvere gestit,
64	transferat ut proprias aliena in crimina culpas.
65	cunctae exprobrantes tolerati insignia leti 
66	expediunt: haec arma putant, haec ultio dulcis,
67	ut, quo quaeque perit, studeat punire dolorem,
68	haec laqueum tenet, haec speciem mucronis inanem
69	ingerit, illa cavos amnes rupemque fragosam
70	Insanique metum pelagi et sine fluctibus aequor. 
71	nonnullae flammas quatiunt trepidaeque minantur
72	stridentes nullo igne faces, rescindit adultum
73	Myrrha uterum lacrimis lucentibus inque paventem
74	gemmea fletiferi iaculatur sucina trunci,
75	quaedam ignoscentum specie ludibria tantum 
76	sola volunt, stilus ut tenuis sub acumine puncti
77	eliciat tenerum, de quo rosa nata, cruorem
78	aut pubi admoveant petulantia lumina lychni.
79	ipsa etiam simili genetrix obnoxia culpae
80	alma Venus tantos penetrat secura tumultus. 
81	nec circumvento properans suffragia nato
82	terrorem ingeminat stimulisque accendit amaris
83	ancipites furias natique in crimina confert
84	dedecus ipsa suum, quod vincula caeca mariti
85	deprenso Mavorte tulit, quod pube pudenda 
86	Hellespontiaci ridetur forma Priapi,
87	quod crudelis Eryx, quod semivir Hermaphroditns.
88	nec satis in verbis: roseo Venus aurea serto
89	maerentem pulsat puerum et graviora paventem,
90	olli purpureum mulcato corpore rorem 
91	sutilis expressit crebro rosa verbere, quae iam
92	tincta prius traxit rutilum magis ignea fucum.
93	inde truces cecidere minae vindictaque maior
94	crimine visa suo, Venerem factura nocentem,
95	ipsae intercedunt heroides et sua quaeque 
96	funera crudeli malunt adscribere fato.
97	tum grates pia mater agit cessisse dolentes
98	et condonatas puero dimittere culpas.
99	Talia nocturnis olim simulacra figuris
100	exercent trepidam casso terrore quietem. 
101	quae postquam multa perpessus nocte Cupido
102	effugit, pulsa tandem caligine somni
103	evolat ad superos portaque evadit eburna.
