pr.1	Latebat inter nugas meas libellus ignobilis; utinamque latuisset neque indicio suo tamquam sorex periret, hunc ego cum velut gallinaceus Euclionis situ chartei pulveris eruissem, excussum relegi atque ut avidus faenerator inprobum nummum malui occupare quam condere, dein cogitans mecum, non illud Catullianum, cui dono lepidum novum libellum, set ἀμουσότερον et verius: cui dono inlepidum, rudem libellum, non diu quaesivi, tu enim occurristi, quem ego, si mihi potestas sit ex omnibus deligendi, unum semper elegerim. misi itaque ad te haec frivola gerris Siculis vaniora, ut, cum agis nihil, haec legas et, ne nihil agas, defendas. igitur iste nugator libellus iam diu secreta quidem, sed vulgi lectione laceratus perveniet tandem in manus tuas. quem tu aut ut Aesculapius redintegrabis ad vitam, aut ut Plato iuvante Vulcano liberabis infamia, si pervenire non debet ad famam. Fuit autem ineptiolae huius ista materia, in expeditione, quod tempus, ut scis, licentiae militaris est, super mensam meam facta est invitatio, non illa de Rubrii convivio, ut Graeco more biberetur,1 set illa de Flacci ecloga, in qua propter mediam noctem et novam lunam et Murenae auguratum ternos ter cyathos attonitus petit vates. hunc locum de ternario numero illico nostra illa poetica scabies coepit exculpere: cuius morbi quoniam facile contagium est, utinam ad te quoque prurigo commigret et fuco tuae emendationis adiecto inpingas sphongiam, quae inperfectum opus equi male spumantis absolvat. ac ne me nescias gloriosum, coeptos inter prandendum versiculos ante cenae tempus absolvi, hoc est, dum bibo et paulo ante quam biberem. Sit ergo examen pro materia et tempore, set tu quoque hoc ipsum paulo hilarior et dilutior lege; namque iniurium est de poeta male sobrio lectorem abstemium iudicare.
pr.2	Neque me fallit fore aliquem, qui hunc iocum nostrum acutis naribus et caperrata fronte condemnet negetque me omnia, quae ad ternarium et novenarium numeros pertinent, attigisse. quem ego verum dicere fatebor, iuste, negabo, quippe si bonus est, quae omisi, non oblita mihi, sed praeterita existimet, dehinc qualiscumque est, cogitet secum, quam multa de his non repperisset, si ipse quaesisset, sciat etiam me neque omnibus erutis usum et quibusdam oblatis abusum. quam multa enim de ternario sciens nec-lego! tempora et personas, genera et gradus, novem naturalia metra cum trimetris, totam grammaticam et musicam librosque medicinae, ter maximum Hermen et amatorem primum philosophiae Varronisque numeros et quidquid profanum vulgus ignorat. Postremo, quod facile est, cum ipse multa invenerit, comparet se atque me, occupatum cum otioso, pransum cum abstemio, iocum et ludum meum, diligentiam et calumniam suam. alius enim alio plura invenire potest: nemo omnia.
pr.3	Quod si alicui et obscurus videbor, aput eum me sic tuebere: primum eiusmodi epyllia, nisi vel obscura sint, nihil futura; deinde numerorum naturam non esse scirpum, ut sine nodo sint: postremo si etiam tibi obscurus fuero, cui nihil neque non lectum est neque non intellectum, tum vero ego beatus, quod adfectavi, adsequar, me ut requiras, me ut desideres, de me cogites. vale.
1.1	Ter bibe vel totiens ternos: sic mystica lex est,
1.2	vel tria potanti vel ter tria multiplicanti,
1.3	inparibus novies ternis contexere coebum .
1.4	Iuris idem tribus est, quod ter tribus: omnia in istis;
1.5	forma hominis coepti plenique exactio partus 
1.6	quique novem novies fati tenet ultima finis,
1.7	tris Ope progeniti fratres, tris ordine partae,
1.8	Vesta, Ceres et Iuno, secus muliebre, sorores.
