pr1.1	Scio versiculis meis evenire, ut fastidiose legantur: quippe sic meritum est eorum, sed quosdam solet commendare materia et aliquotiens fortasse lectorem solum lemma sollicitat tituli, ut festivitate persuasus et ineptiam ferre contentus sit. hoc opusculum nec materia amoenum est nec appellatione iucundum, habet maestam religionem, qua carorum meorum obitus tristi adfectione commemoro. titulus libelli est Parentalia. antiquae appellationis hic dies et iam inde ab Numa cognatorum inferiis institutus: nec quidquam sanctius habet reverentia superstitum, quam ut amissos venerabiliter recordetur.
pr2.1	Nomina carorum iam condita funere iusto,
pr2.2	fleta prius lacrimis, nunc memorabo modis,
pr2.3	nuda, sine ornatu fandique carentia cultu:
pr2.4	sufficit inferiis exequialis honos,
pr2.5	nenia, funereis satis officiosa querellis, 
pr2.6	annua ne tacitis munera praetereas,
pr2.7	quae Numa cognatis sollemnia dedicat umbris,
pr2.8	ut gradus aut mortis postulat aut generis,
pr2.9	hoc satis est tumulis, satis est telluris egenis:
pr2.10	voce ciere animas funeris instar habet. 
pr2.11	gaudent conpositi cineres sua nomina dici:
pr2.12	frontibus hoc scriptis et monumenta iubent,
pr2.13	ille etiam, maesti cui defuit urna sepulcri,
pr2.14	nomine ter dicto paene sepultus erit.
pr2.15	at tu, quicumque es, lector, qui fata meorum 
pr2.16	dignaris maestis conmemorare elegis,
pr2.17	inconcussa tuae percurras tempora vitae
pr2.18	et praeter iustum funera nulla fleas.
1.1	PRIMUS in his pater Ausonius, quem ponere primum,
1.2	etsi cunctetur filius, ordo iubet,
1.3	cura dei, placidae functus quod honore senectae
1.4	undecies binas vixit Olympiadas.
1.5	omnia, quae voluit, qui prospera vidit: eidem, 
1.6	optavit quidquid, contigit, ut voluit,
1.7	non quia fatorum nimia indulgentia, sed quod
1.8	tam moderata illi vota fuere viro.
1.9	quem sua contendit septem sapientibus aetas,
1.10	quorum doctrinam moribus excoluit, 
1.11	viveret ut potius quam diceret, arte sophorum,
1.12	quamquam et facundo non rudis ingenio,
1.13	praeditus et vitas hominum ratione medendi
1.14	porrigere et fatis amplificare moras,
1.15	inde et perfunctae manet haec reverentia vitae, 
1.16	aetas nostra illi quod dedit hunc titulum:
1.17	ut nullum Ausonius, quem sectaretur, habebat,
1.18	sic nullum, qui se nunc imitetur, habet.
2.1	PROXIMA tu, genetrix Aeonia, sanguine mixto
2.2	Tarbellae matris patris et Haeduici.
2.3	morigerae uxoris virtus cui contigit omnis,
2.4	fama pudicitiae lanificaeque manus
2.5	coniugiique fides et natos cura regendi 
2.6	et gravitas comis laetaque serietas.
2.7	aeternum placidos manes conplexa mariti,
2.8	viva torum quondam, functa fove tumulum.
3.1	CULTA mihi est pietas patre primum et matre vocatis,
3.2	dici set refugit tertius Arborius,
3.3	quem primum memorare nefas mihi patre secundo,
3.4	rursum non primum ponere paene nefas,
3.5	temperies adhibenda, et proximus ille vocandus1 
3.6	ante alios, quamquam patre secundus erit.
3.7	tu frater genetricis et unanimis genitori,
3.8	et mihi qui fueris, quod pater et genetrix,
3.9	qui me lactantem, puerum iuvenemque virumque
3.10	artibus ornasti, quas didicisse iuvat — 
3.11	te sibi Palladiae antetulit toga docta Tolosae,
3.12	te Narbonensis Gallia praeposuit,
3.13	ornasti cuius Latio sermone tribunal
3.14	et fora Hiberorum quaeque Novem populis,
3.15	hinc tenus Europam fama crescente petito 
3.16	Constantinopolis rhetore te viguit,
3.17	tu per mille modos, per mille oracula fandi
3.18	doctus, facundus, tu celer, atque memor,
3.19	tu, postquam primis placui tibi traditus annis, 
3.20	dixisti nato me satis esse tibi. me tibi, 
3.21	me patribus clarum decus esse professus
3.22	dictasti fatis verba notanda meis.
3.23	Ergo vale Elysiam sortitus, avuncule, sedem:
3.24	haec tibi de Musis carmina libo tuis.
4.1	OFFICIOSA pium ne desere, pagina, munus:
4.2	maternum post hos commemoremus avum
4.3	Arborium, Haeduico ductum de stemmate nomen,
4.4	conplexum multas nobilitate domus,
4.5	qua Lugdunensis provincia quaque potentes 
4.6	Haedues, Alpino quaque Vienna iugo.
4.7	invida set nimium generique opibusque superbis
4.8	aerumna incubuit; namque avus et genitor
4.9	proscripti, regnum cum Victorinus haberet
4.10	ductor et in Tetricos recidit imperium. 
4.11	tum profugum in terris, per quas erumpit Aturrus
4.12	Tarbellique furor perstrepit oceani,
4.13	grassantis dudum fortunae tela paventem
4.14	pauperis Aemiliae condicio inplicuit.
4.15	mox tenuis multo quaesita pecunia nisu 
4.16	solamen fesso, non et opes tribuit,
4.17	tu caeli numeros et conscia sidera fati
4.18	callebas studium dissimulanter agens,
4.19	non ignota tibi nostrae quoque formula vitae,
4.20	signatis quam tu condideras tabulis, 
4.21	prodita non umquam; sed matris cura retexit,
4.22	sedula quam timidi cura tegebat avi.
4.23	tu novies denos vitam cum duxeris annos,
4.24	expertus Fortis tela cavenda deae,
4.25	amissum flesti per trina decennia natum 
4.26	saucius: hoc leto lumine cassus eras.
4.27	dicebas sed te solacia longa fovere,
4.28	quod mea praecipuus fata maneret honos,
4.29	et modo conciliis animarum mixte priorum
4.30	fata tui certe nota nepotis habes.
4.31	sentis, quod quaestor, quod te praefectus et idem
4.32	consul honorifico munere conmemoro.
5.1	AEMILIAM nunc fare aviam, pia cura nepotis,
5.2	coniunx praedicto quae fuit Arborio.
5.3	nomen huic ioculare datum, cute fusca quod olim
5.4	aequales inter Maura vocata fuit.
5.5	sed non atra animo, qui clarior esset olore 
5.6	et non calcata qui nive candidior.
5.7	et non deliciis ignoscere prompta pudendis
5.8	ad perpendiculum seque suosque habuit,
5.9	haec me praereptum cunis et ab ubere matris
5.10	blanda sub austeris inbuit inperiis. 
5.11	tranquillos aviae cineres praestate, quieti
5.12	aeternum manes, si pia verba loquor.
6.1	TUQUE gradu generis matertera, sed vice matris
6.2	adfectu nati commemoranda pio,
6.3	Aemilia, in cunis Hilari cognomen adepta,
6.4	quod laeta et pueri comis ad effigiem,
6.5	reddebas verum non dissimulanter ephebum,
6.6	more virum medicis artibus experiens,
6.7	feminei sexus odium tibi semper et inde
6.8	crevit devotae virginitatis amor.
6.9	quae tibi septenos novies est culta per annos
6.10	quique aevi finis, ipse pudicitiae. 
6.11	haec, quia uti mater monitis et amore fovebas,
6.12	supremis reddo filius exequiis.
7.1	Et patruos, elegea, meos reminiscere cantu,
7.2	Contemtum, tellus quem Rutupina tegit;
7.3	magna cui et variae quaesita pecunia sortis
7.4	heredis nullo nomine tuta perit;
7.5	raptus enim laetis et adhuc florentibus annis 
7.6	trans mare et ignaris fratribus oppetiit.
7.7	Iulius in longam produxit fata senectam,
7.8	adfectus damnis innumerabilibus,
7.9	qui comis blandusque et mensa commodus uncta
7.10	heredes solo nomine nos habuit. 
7.11	Ambo pii, vultu similes, ioca seria mixti,
7.12	aevi fortunam non habuere parem,
7.13	discreti quamquam tumulis et honore iacetis,
7.14	commune hoc vobis munus habete, vale. 
8.1	QUI proceres veteremque volet celebrare senatum
8.2	claraque ab exortu stemmata Burdigalae,
8.3	teque tuumque genus memoret, Lucane Talisi,
8.4	moribus ornasti qui veteres proavos.
8.5	pulcher honore oris, tranquillo pectore comis, 5 
8.6	facundo quamvis maior ab ingenio:
8.7	venatu et ruris cultu victusque nitore
8.8	omne aevum peragens, publica despiciens:
8.9	nosci inter primos cupiens, prior esse recusans,
8.10	ipse tuo vivens segregus arbitrio. 
8.11	optabas tu me generum florente iuventa:
8.12	optare hoc tantum, non et habere datum,
8.13	vota probant superi mentisque faventia sanctis
8.14	inplent fata, viri quod voluere boni.
8.15	et nunc perpetui sentis sub honore sepulcri, 
8.16	quam reverens natae quamque tui maneam.
8.17	caelebs namque gener haec nunc pia munera solvo
8.18	nam et caelebs numquam desinam et esse gener.
9.1	HACTENUS ut caros, ita iusto funere fletos
9.2	functa piis cecinit nenia nostra modis,
9.3	nunc dolor atque cruces nec contrectabile vulnus,
9.4	coniugis ereptae mors memoranda mihi.
9.5	nobilis a proavis et origine clara senatus, 
9.6	moribus atque bonis clara Sabina magis,
9.7	te iuvenis primis luxi deceptus in annis
9.8	perque novem caelebs te fleo Olympiadas.
9.9	nec licet obductum senio sopire dolorem;
9.10	semper crudescit nam mihi paene recens. 
9.11	admittunt alii solacia temporis aegri:
9.12	haec graviora facit vulnera longa dies.
9.13	torqueo deceptos ego vita caelibe canos,
9.14	quoque magis solus, hoc mage maestus ago.
9.15	vulnus alit, quod muta domus silet et torus alget, 
9.16	quod mala non cuiquam, non bona participo.
9.17	maereo, si coniunx alii bona; maereo contra,
9.18	si mala: ad exemplum tu mihi semper ades.
9.19	tu mihi crux ab utraque venis: sive est mala, quod tu
9.20	dissimilis fueris; seu bona, quod similis. 
9.21	non ego opes cassas et inania gaudia plango,
9.22	sed iuvenis iuveni quod mihi rapta viro.
9.23	laeta, pudica, gravis, genus inclita et inclita forma,
9.24	et dolor atque decus coniugis Ausonii,
9.25	quae modo septenos quater inpletura Decembres 
9.26	liquisti natos, pignera nostra, duos.
9.27	illa favore dei, sicut tua vota fuerunt,
9.28	florent, optatis adcumulata bonis,
9.29	et precor, ut vigeant tandemque superstite utroque
9.30	nuntiet hoc cineri nostra favilla tuo. 
10.1	NON ego te infletum memori fraudabo querella,
10.2	primus, nate, meo nomine dicte puer:
10.3	murmura quem primis meditantem absolvere verbis
10.4	indolis et plenae, planximus exequiis. 
10.5	tu gremio in proavi funus commune Iocatus, 
10.6	invidiam tumuli ne paterere tui.
11.1	TU quoque maturos, puer inmature, dolores
11.2	interrupisti luctus acerbus avi,
11.3	Pastor care nepos, spes cuius certa fuisses, 
11.4	Hesperii patris tertia progenies,
11.5	nomen, quod casus dederat (quia fistula primum 
11.6	pastorale melos concinuit genito),
11.7	sero intellectum vitae brevis argumentum:
11.8	spiritus adflatis quod fugit e calamis,
11.9	occidis emissae percussus pondere testae,
11.10	abiecit tecto quam manus artificis. 
11.11	non fuit artificis manus haec: manus illa cruenti
11.12	certa fuit fati suppositura reum.
11.13	heu, quae vota mihi, quae rumpis gaudia. Pastor!
11.14	illa meum petiit tegula missa caput,
11.15	dignior o, nostrae gemeres qui fata senectae 
11.16	et quererere meas maestus ad exequias!
12.1	SI qua fuit virtus, cuperet quam femina prudens
12.2	esse suam, soror hac Dryadia haud caruit,
12.3	quin etiam multas habuit, quas sexus habere
12.4	fortior optaret nobilitasque virum,
12.5	docta satis vitamque colu famamque tueri, 
12.6	docta bonos mores ipsa suosque docens,
12.7	et verum vita cui carius unaque cura
12.8	nosse deum et fratrem diligere ante alios.
12.9	coniuge adhuc iuvenis caruit, sed seria vitans
12.10	moribus austeras aequiperavit anus 
12.11	produxitque hilarem per sena decennia vitam,
12.12	inque domo ac tecto, quo pater, oppetiit.
13.1	AVITIANUM, Musa, germanum meum
13.2	dona querella funebri,
13.3	minor iste natu me, sed ingenio prior
13.4	artes paternas inhibit.
13.5	verum iuventae flore laeto perfrui
13.6	aevique supra puberis
13.7	exire metas vetuit infesta Atropos.
13.8	heu quem dolorem sociis!
13.9	heu quanta vitae decora, quem cultum spei, 
13.10	germane, pubes deseris, 
13.11	germane carnis lege et ortu sanguinis,
13.12	amore paene filius!
14.1	O GENERIS clari decus, o mihi funus acerbum,
14.2	Euromi, e iuvenum lecte cohorte gener,
14.3	occidis in primae raptus mihi flore iuventae,
14.4	laetantis nati vix bene note pater,
14.5	tu procerum de stirpe satus, praegressus et ipsos, 
14.6	unde genus clarae nobilitatis erat,
14.7	ore decens, bonus ingenio, facundus et omni
14.8	dexteritate vigens praecipuusque fide.
14.9	hoc praefecturae sedes, hoc Illyris ora
14.10	praeside te experta est, fiscus et ipse cliens. 
14.11	nil aevi brevitate tamen tibi laudis ademptum:
14.12	indole maturus, funere acerbus obis.
15.1	ET te germanum non sanguine, sed vice fratris,
15.2	Maxime, defunctum nenia nostra canet,
15.3	coniunx namque meae tu consociate sorori
15.4	aevi fruge tui destituis viduam,
15.5	non domus hoc tantum sensit tua: sensit acerbum 
15.6	saucia, pro, casum curia Burdigalae,
15.7	te primore vigens, te deficiente relabens
15.8	inque Valentinum te moriente cadens,
15.9	heu quare nato, qui fruge et flore nepotum,
15.10	ereptus nobis, Maxime, non frueris? 
15.11	set frueris, divina habitat si portio manes
15.12	quaeque futura olim gaudia, nosse datur,
15.13	longior hic etiam laetorum fructus habetur — anticipasse
15.14	diu, quae modo participas.
16.1	TU quoque sive nurus mihi nomine, vel vice natae,
16.2	Veria, supremi carmen honoris habe.
16.3	cuius si probitas, si forma et fama fidesque
16.4	morigerae uxoris lanificaeque manus
16.5	nunc laudanda forent, procul et de manibus imis 
16.6	accersenda foret vox proavi Eusebii.
16.7	qui quoniam functo iam pridem conditus aevo
16.8	transcripsit partes in mea verba suas,
16.9	accipe funereas, neptis defleta, querellas,
16.10	coniunx Arborii commemoranda mei, 
16.11	cui parva ingentis luctus solacia linquens
16.12	destituis natos, quo magis excrucias.
16.13	at tibi dilecti ne desit cura mariti,
16.14	iuncta colis thalamo nunc monumenta tuo.
16.15	hic, ubi primus hymen, sedes ibi maesta sepulcri: 
16.16	nupta magis dici quam tumulata potes.
17.1	NEC germana genitum te
17.2	modulamine nenia tristi
17.3	tacitum sine honore relinquat,
17.4	super indole cuius adulti
17.5	magnae bona copia laudis. 
17.6	verum memorare magis quam
17.7	functum laudare decebit.
17.8	decus hoc matrisque meumque
17.9	in tempore puberis aevi
17.10	vis perculit invida fati. 
17.11	eheu quem, Maxime, fructum,
17.12	facunde et musice et acer,
17.13	mentem bonus, ingenio ingens,
17.14	volucer pede, corpore pulcher,
17.15	lingua catus, ore canorus. 
17.16	cape munera tristia patrum,
17.17	lacrimabilis orsa querellae,
17.18	quae funereo modulatu
17.19	tibi maestus avunculus offert.
18.1	QUI ioca laetitiamque colis, qui tristia damnas
18.2	nec metuis quemquam nec metuendus agis,
18.3	qui nullum insidiis captas nec lite lacessis,
18.4	sed iustam et clemens vitam agis et sapiens,
18.5	tranquillos manes supremaque mitia Sancti 
18.6	ore pio et verbis advenerare bonis,
18.7	militiam nullo qui turbine sedulus egit,
18.8	praeside laetatus quo Rutupinus ager,
18.9	octoginta annos cuius tranquilla senectus
18.10	nullo mutavit deteriore die. 
18.11	ergo precare favens, ut qualia tempora vitae,
18.12	talia et ad manes otia Sanctus agat.
19.1	TUQUE Pudentillam verbis adfare supremis,
19.2	quae famae curam, quae probitatis habes,
19.3	nobilis haec, frugi, proba, laeta, pudica, decora,
19.4	coniugium Sancti iugiter haec habuit.
19.5	inviolata tuens castae praeconia vitae 
19.6	rexit opes proprias otia agente viro:
19.7	non ideo exprobrans aut fronte obducta marito,
19.8	quod gereret totam femina sola domum.
19.9	heu nimium iuvenis, sed laeta superstate nato
19.10	atque viro, patiens fata suprema obiit: 
19.11	unanimis nostrae et quondam germana Sabinae
19.12	et mihi inoffenso nomine dicta soror.
19.13	nunc etiam manes placidos pia cura retractat
19.14	atque Pundentillam fantis honore colit.
20.1	NEC iam tu, matris spes unica, ephebe Talisi,
20.2	consobrine meus, inmemoratus eris,
20.3	ereptus primis aevi florentis in annis,
20.4	iam tamen et coniunx, iam properate pater,
20.5	festinasse putes fatum, ne funus acerbum 
20.6	diceret hoc genitor tam cito factus avus.
21.1	NOTITIA exilis nobis, Attusia, tecum,
21.2	cumque tuo plane coniuge nulla fuit.
21.3	verum tu nostrae soror es germana Sabinae,
21.4	adfinis quoque tu, Regule, nomen habes,
21.5	sortitos igitur tam cara vocabula nobis 
21.6	stringamus maesti carminis obsequio,
21.7	quamvis Santonica procul in tellure iacentes
21.8	pervenit ad manes exequialis honor.
22.1	DESINITE, o veteres, Calpurnia nomina, Frugi
22.2	ut proprium hoc vestrae gentis habere decus,
22.3	nec solus semper censor Cato nec sibi solus
22.4	iustus Aristides his placeant titulis,
22.5	nam sapiens quicumque fuit verumque fidemque
22.6	qui coluit, comitem se tibi, Censor, agat.
22.7	tu gravis et comis cum iustitiaque remissus,
