pr.1	Post resides annos longo velut excita somno
pr.2	Romanis fruitur nostra Thalia choris.
pr.3	optatos renovant eadem mihi culmina coetus,
pr.4	personat et note Pythia vate domus :
pr.5	consulis hie fasces cecini Libyamque receptam, 
pr.6	hic mihi prostratis bella canenda Getis.
pr.7	Sed prior effigiem tribuit successus aenam,
pr.8	oraque patricius nostra dicavit honos ;
pr.9	adnuit hic princeps titulum poscente senatu ;
pr.10	respice iudicium quam grave, Musa, subis ! 
pr.11	ingenio minuit merces properata favorem :
pr.12	carminibus veniam praemia tanta negant ;
pr.13	et magis intento studium censore laborat,
pr.14	quod legimur medio conspicimurque foro.
pr.15	Materies tamen ipsa iuvat solitumque timorem 
pr.16	dicturo magna sedula parte levat.
pr.17	nam mihi conciliat gratas impensius aures
pr.18	vel meritum belli vel Stilichonis amor.
1.1	Intacti cum claustra freti, coeuntibus aequor
1.2	armatum scopulis, audax inrumperet Argo
1.3	Aeetam Colchosque petens, propiore periclo
1.4	omnibus attonitis, solus post numina Tiphys
1.5	incolumem tenui damno servasse carinam 
1.6	fertur et ancipitem montis vitasse ruinam
1.7	deceptoque vagae concursu rupis in altum
1.8	victricem duxisse ratem ; stupuere superbae
1.9	arte viri domitae Symplegades et nova passae
1.10	iura soli cunctis faciles iam puppibus haerent, 
1.11	ut vinci didicere semel. quodsi ardua Tiphyn
1.12	navis ob innocuae meritum sic gloria vexit,
1.13	quae tibi pro tanti pulso discrimine regni
1.14	sufficient laudes, Stilicho ? licet omnia vates
1.15	in maius celebrata ferant ipsamque secandis 
1.16	Argois trabibus iactent sudasse Minervam
1.17	nec nemoris muti iunxisse carentia sensu
1.18	robora, sed caeso Tomari Iovis augure luco
1.19	arbore praesaga tabulas animasse loquaces.
1.20	plurima sed quamvis variis miracula monstris 
1.21	ingeminent, teneras victuri carmine mentes,
1.22	Harpyiasque truces insopitisque refusum
1.23	tractibus aurati custodem velleris anguem
1.24	et iuga taurorum rapidis ambusta favillis
1.25	et virides galeis sulcos fetasque novales 
1.26	Martis et in segetem crescentis semina belli :
1.27	nil veris aequale dabunt. prohibere rapaces
1.28	scilicet Harpyias unaque excludere mensa
