1.pr.1	Phoebeo domitus Python cum decidit arcu
1.pr.2	membraque Cirrhaeo fudit anhela iugo,
1.pr.3	qui spiris tegeret montes, hauriret hiatu
1.pr.4	flumina, sanguineis tangeret astra iubis:
1.pr.5	iam liber Parnasus erat nexuque soluto 
1.pr.6	coeperat erecta surgere fronde nemus
1.pr.7	concussaeque diu spatiosis tractibus orni
1.pr.8	securas ventis explicuere comas
1.pr.9	et qui vipereo spumavit saepe veneno
1.pr.10	Cephisos nitidis purior ibat aquis. 
1.pr.11	omnis " io Paean " regie sonat; omnia Phoebum
1.pr.12	rura canunt; tripodas plenior aura rotat,
1.pr.13	auditoque procul Musarum carmine dulci
1.pr.14	ad Themidis coeunt antra severa dei.
1.pr.15	Nunc alio domini telis Pythone perempto 
1.pr.16	convenit ad nostram sacra caterva lyram,
1.pr.17	qui stabilem servans Augustis fratribus orbem
1.pr.18	iustitia pacem, viribus arma regit.
1.1.1	Saepe mihi dubiam traxit sententia mentem,
1.1.2	curarent superi terras an nullus inesset
1.1.3	rector et incerto fluerent mortalia casu.
1.1.4	nam cum dispositi quaesissem foedera mundi
1.1.5	praescriptosque mari fines annisque meatus 
1.1.6	et lucis noctisque vices: tunc omnia rebar
1.1.7	consilio firmata dei, qui lege moveri
1.1.8	sidera, qui fruges diverso tempore nasci,
1.1.9	qui variam Phoeben alieno iusserit igni
1.1.10	compleri Solemque suo, porrexerit undis 
1.1.11	litora, tellurem medio libraverit axe.
1.1.12	sed cum res hominum tanta caligine volvi
1.1.13	adspicerem laetosque diu florere nocentes
1.1.14	vexarique pios, rursus labefacta cadebat
1.1.15	relligio causaeque viam non sponte sequebar 
1.1.16	alterius, vacuo quae currere semina motu
1.1.17	adfirmat magnumque novas per inane figuras
1.1.18	fortuna non arte regi, quae numina sensu
1.1.19	ambiguo vel nulla putat vel nescia nostri.
1.1.20	abstulit hunc tandem Rufini poena tumultum 
1.1.21	absolvitque deos. iam non ad culmina rerum
1.1.22	iniustos crevisse queror; tolluntur in altum,
