pr.1	Audebisne, precor, tantae subiecta catervae,
pr.2	inter tot proceres, nostra Thalia, loqui?
pr.3	nec te fama vetat, vero quam Celsius auctam
pr.4	vel servasse labor vel minuisse pudor?
pr.5	an tibi continuis crevit fiducia castris 
pr.6	totaque iam vatis pectora miles habet?
pr.7	culmina Romani maiestatemque senatus
pr.8	et, quibus exultat Gallia, cerne viros.
pr.9	omnibus audimur terris mundique per aures
pr.10	ibimus. ah nimius consulis urget amor! 
pr.11	Iuppiter, ut perhibent, spatium cum discere vellet
pr.12	naturae regni nescius ipse sui,
pr.13	armigeros utrimque duos aequalibus alis
pr.14	misit ab Eois Occiduisque plagis.
pr.15	Parnasus geminos fertur iunxisse volatus; 
pr.16	contulit alternas Pythius axis aves.
pr.17	Princeps non aquilis terras cognoscere curat;
pr.18	certius in vobis aestimat imperium.
pr.19	hoc ego concilio collectum metior orbem;
pr.20	hoc video coetu quidquid ubique micat. 
1.1	Ipsa quidem Virtus pretium sibi, solaque late
1.2	Fortunae secura nitet nec fascibus ullis
1.3	erigitur plausuve petit clarescere vulgi.
1.4	nil opis externae cupiens, nil indiga laudis,
1.5	divitiis animosa suis inmotaque cunctis 
1.6	casibus ex alta mortalia despicit arce.
1.7	attamen invitam blande vestigat et ultro
1.8	ambit honor: docuit totiens a rure profectus
1.9	lictor et in mediis consul quaesitus aratris.
1.10	te quoque naturae sacris mundique vacantem, 
1.11	emeritum pridem desudatisque remotum
1.12	iudiciis eadem rursum complexa potestas
1.13	evehit et reducem notis imponit habenis.
1.14	accedunt trabeae: nil iam, Theodore, relictum,
1.15	quo virtus animo crescat vel splendor honori.1 
1.16	culmen utrumque tenes: talem te protinus anni
1.17	formavere rudes, et dignum vita curuli
1.18	traxit iter primaeque senes cessere iuventae.
1.19	iam tum canities animi, iam dulce loquendi
1.20	pondus et attonitas sermo qui duceret aures, 
1.21	mox undare foro victrix opulentia linguae
1.22	tutarique reos. ipsa haec amplissima sedes
1.23	orantem stupuit, bis laudatura regentem.
1.24	hinc te pars Libyae moderantem iura probavit,
1.25	quae nunc tota probat; longi sed pignus amoris 
1.26	exiguae peperere morae populumque clientem
1.27	publica mansuris testantur vocibus aera.
1.28	inde tibi Macetum tellus et credita Pellae
1.29	moenia, quae famulus quondam ditavit Hydaspes;
1.30	tantaque commissae revocasti gaudia genti 
1.31	mitibus arbitriis, quantum bellante Philippo
1.32	floruit aut nigri cecidit cum regia Pori.
1.33	Sed non ulterius te praebuit urbibus aula:
1.34	maluit esse suum; terris edicta daturus,
1.35	supplicibus responsa venis. oracula regis 
1.36	eloquio crevere tuo, nec dignius umquam
1.37	maiestas meminit sese Romana locutam.
1.38	hinc sacrae mandantur opes orbisque tributa
1.39	possessi, quidquid fluviis evolvitur auri,
1.40	quidquid luce procul venas rimata sequaces 
1.41	abdita pallentis fodit sollertia Bessi.
1.42	Ac velut expertus 1 lentandis navita tonsis
1.43	praeficitur lateri custos; hinc ardua prorae
1.44	temperat et fluctus tempestatesque futuras
1.45	edocet; adsiduo cum Dorida vicerit usu, 
1.46	iam clavum totamque subit torquere carinam:
1.47	sic cum clara diu mentis documenta dedisses,
1.48	non te parte sui, sed in omni corpore sumpsit
1.49	imperium cunctaque dedit tellure regendos
1.50	rectores. Hispana tibi Germanaque Tethys 
1.51	paruit et nostro diducta Britannia mundo,
1.52	diversoque tuas coluerunt gurgite voces
1.53	lentus Arar Rhodanusque ferox et dives Hiberus.
1.54	o quotiens doluit Rhenus, qua barbarus ibat,
1.55	quod te non geminis frueretur iudice ripis! 
1.56	unius fit cura viri, quodcumque rubescit
1.57	occasu, quodcumque dies devexior ambit.
1.58	Tam celer adsiduos explevit cursus honores;
1.59	una potestatum spatiis interfuit aetas
1.60	totque gradus fati iuvenilibus intulit annis. 
1.61	Postquam parta quies et summum nacta cacumen
